Chamber,District Number,School District,RCDTS,Legislator Name,Total Students,Share of Students
Senate,1,Berwyn South SD 100,0601610000200,Javier L. Cervantes,2042,0.68
Senate,1,Brookfield Lagrange Park SD 95,0601609500200,Javier L. Cervantes,472,0.35
Senate,1,Central Stickney SD 110,0701611000200,Javier L. Cervantes,296,1
Senate,1,Chicago Public Schools District 299,1501629902500,Javier L. Cervantes,15043,0.05
Senate,1,Cicero SD 99,0601609900200,Javier L. Cervantes,7191,0.84
Senate,1,J S Morton HSD 201,0601620101700,Javier L. Cervantes,4443,0.56
Senate,1,Lyons SD 103,0601610300200,Javier L. Cervantes,1682,0.81
Senate,1,Riverside SD 96,0601609600200,Javier L. Cervantes,123,0.07
Senate,2,Chicago Public Schools District 299,1501629902500,Omar Aquino,24723,0.08
Senate,3,Chicago Public Schools District 299,1501629902500,Mattie Hunter,19658,0.06
Senate,4,Bellwood SD 88,0601608800200,Kimberly A. Lightford,1578,0.81
Senate,4,Berkeley SD 87,0601608700200,Kimberly A. Lightford,1034,0.5
Senate,4,Butler SD 53,1902205300200,Kimberly A. Lightford,181,0.39
Senate,4,Chicago Public Schools District 299,1501629902500,Kimberly A. Lightford,4169,0.01
Senate,4,Cicero SD 99,0601609900200,Kimberly A. Lightford,706,0.08
Senate,4,Elmhurst SD 205,1902220502600,Kimberly A. Lightford,343,0.04
Senate,4,Forest Park SD 91,0601609100200,Kimberly A. Lightford,694,1
Senate,4,Hillside SD 93,0601609300200,Kimberly A. Lightford,423,1
Senate,4,Komarek SD 94,0601609400200,Kimberly A. Lightford,526,1
Senate,4,La Grange SD 102,0601610200200,Kimberly A. Lightford,1723,0.59
Senate,4,La Grange SD 105 South,0601610500200,Kimberly A. Lightford,581,0.5
Senate,4,Lindop SD 92,0601609200200,Kimberly A. Lightford,309,1
Senate,4,Lyons Twp HSD 204,0601620401700,Kimberly A. Lightford,3713,1
Senate,4,Maywood-Melrose Park-Broadview 89,0601608900200,Kimberly A. Lightford,2403,0.59
Senate,4,Oak Park ESD 97,0601609700200,Kimberly A. Lightford,1090,0.2
Senate,4,Proviso Twp HSD 209,0601620901700,Kimberly A. Lightford,4125,1
Senate,4,Westchester SD 92-5,0601609250200,Kimberly A. Lightford,1042,1
Senate,4,Western Springs SD 101,0601610100200,Kimberly A. Lightford,721,0.51
Senate,5,Chicago Public Schools District 299,1501629902500,Lakesia Collins,18466,0.06
Senate,6,Chicago Public Schools District 299,1501629902500,Sara Feigenholtz,16856,0.05
Senate,7,Chicago Public Schools District 299,1501629902500,Mike Simmons,16539,0.05
Senate,8,Chicago Public Schools District 299,1501629902500,Ram Villivalam,10418,0.03
Senate,8,East Maine SD 63,0501606300200,Ram Villivalam,1562,0.43
Senate,8,East Prairie SD 73,0501607300200,Ram Villivalam,524,1
Senate,8,Fairview SD 72,0501607200200,Ram Villivalam,685,1
Senate,8,Golf ESD 67,0501606700200,Ram Villivalam,643,1
Senate,8,Lincolnwood SD 74,0501607400200,Ram Villivalam,1200,1
Senate,8,Morton Grove SD 70,0501607000200,Ram Villivalam,874,1
Senate,8,Niles ESD 71,0501607100200,Ram Villivalam,629,1
Senate,8,Niles Twp HSD 219,0501621901700,Ram Villivalam,2517,0.55
Senate,8,Skokie SD 69,0501606900200,Ram Villivalam,1819,1
Senate,8,Skokie SD 73-5,0501607350200,Ram Villivalam,1039,1
Senate,9,Avoca SD 37,0501603700200,Laura Fine,614,1
Senate,9,Chicago Public Schools District 299,1501629902500,Laura Fine,716,0
Senate,9,East Maine SD 63,0501606300200,Laura Fine,398,0.11
Senate,9,Evanston CCSD 65,0501606500400,Laura Fine,6176,1
Senate,9,Evanston Twp HSD 202,0501620201700,Laura Fine,3483,1
Senate,9,Glenbrook HSD 225,0501622501700,Laura Fine,4990,0.99
Senate,9,Glenview CCSD 34,0501603400400,Laura Fine,3832,0.9
Senate,9,Kenilworth SD 38,0501603800200,Laura Fine,482,1
Senate,9,New Trier Twp HSD 203,0501620301700,Laura Fine,2759,0.75
Senate,9,Niles Twp HSD 219,0501621901700,Laura Fine,1929,0.42
Senate,9,Northbrook/Glenview SD 30,0501603000200,Laura Fine,754,0.61
Senate,9,Skokie SD 68,0501606800200,Laura Fine,1694,1
Senate,9,West Northfield SD 31,0501603100200,Laura Fine,635,0.67
Senate,9,Wilmette SD 39,0501603900200,Laura Fine,3257,1
Senate,9,Winnetka SD 36,0501603600200,Laura Fine,1710,1
Senate,10,Chicago Public Schools District 299,1501629902500,Robert F. Martwick,20942,0.07
Senate,10,Franklin Park SD 84,0601608400200,Robert F. Martwick,199,0.16
Senate,10,Norridge SD 80,0601608000200,Robert F. Martwick,1114,1
Senate,10,Pennoyer SD 79,0601607900200,Robert F. Martwick,434,1
Senate,10,Ridgewood CHSD 234,0601623401600,Robert F. Martwick,919,1
Senate,10,Rosemont ESD 78,0601607800200,Robert F. Martwick,202,1
Senate,10,Schiller Park SD 81,0601608100200,Robert F. Martwick,1350,1
Senate,10,Union Ridge SD 86,0601608600200,Robert F. Martwick,643,1
Senate,11,Argo CHSD 217,0701621701600,Mike Porfirio,1771,1
Senate,11,Berwyn North SD 98,0601609800200,Mike Porfirio,2462,1
Senate,11,Berwyn South SD 100,0601610000200,Mike Porfirio,956,0.32
Senate,11,Brookfield Lagrange Park SD 95,0601609500200,Mike Porfirio,882,0.65
Senate,11,Burbank SD 111,0701611100200,Mike Porfirio,1977,0.63
Senate,11,Chicago Public Schools District 299,1501629902500,Mike Porfirio,12340,0.04
Senate,11,Cicero SD 99,0601609900200,Mike Porfirio,165,0.02
Senate,11,Indian Springs SD 109,0701610900200,Mike Porfirio,731,0.31
Senate,11,J S Morton HSD 201,0601620101700,Mike Porfirio,3410,0.43
Senate,11,La Grange SD 102,0601610200200,Mike Porfirio,1176,0.41
Senate,11,La Grange SD 105 South,0601610500200,Mike Porfirio,587,0.5
Senate,11,Lyons SD 103,0601610300200,Mike Porfirio,390,0.19
Senate,11,Reavis Twp HSD 220,0701622001700,Mike Porfirio,1893,1
Senate,11,Riverside SD 96,0601609600200,Mike Porfirio,1589,0.93
Senate,11,Riverside-Brookfield Twp SD 208,0601620801700,Mike Porfirio,1637,1
Senate,11,Summit SD 104,0701610400200,Mike Porfirio,1423,1
Senate,12,Chicago Public Schools District 299,1501629902500,Celina Villanueva,23113,0.07
Senate,12,Cicero SD 99,0601609900200,Celina Villanueva,493,0.06
Senate,13,Chicago Public Schools District 299,1501629902500,Robert Peters,17720,0.06
Senate,14,Arbor Park SD 145,0701614500200,"Emil Jones, III",397,0.36
Senate,14,CCSD 146,0701614600400,"Emil Jones, III",1297,0.55
Senate,14,CHSD 218,0701621801600,"Emil Jones, III",1806,0.33
Senate,14,Calumet Public SD 132,0701613200200,"Emil Jones, III",865,1
Senate,14,Chicago Public Schools District 299,1501629902500,"Emil Jones, III",8333,0.03
Senate,14,Cons HSD 230,0701623001300,"Emil Jones, III",2207,0.29
Senate,14,Cook County SD 130,0701613000200,"Emil Jones, III",2881,1
Senate,14,Dolton SD 148,0701614800200,"Emil Jones, III",703,0.36
Senate,14,Forest Ridge SD 142,0701614200200,"Emil Jones, III",1274,0.85
Senate,14,Gen George Patton SD 133,0701613300200,"Emil Jones, III",205,1
Senate,14,Kirby SD 140,0701614000200,"Emil Jones, III",2054,0.59
Senate,14,Orland SD 135,0701613500200,"Emil Jones, III",3818,0.74
Senate,14,Posen-Robbins ESD 143-5,0701614350200,"Emil Jones, III",1201,1
Senate,15,Beecher CUSD 200U,56099200U2600,"Napoleon Harris, III",1033,1
Senate,15,Bloom Twp HSD 206,0701620601700,"Napoleon Harris, III",1270,0.41
